word,definition
cooperative group,"association of multiple institutions to perform clinical
trials"
cor pulmonale,"heart disease or heart failure caused by a disorder of
the lungs"
cornea,clear tissue covering the front part of the eye
corneoiritis,inflammation of the cornea and iris
coronary,pertains to the blood vessels that supply the heart
coronary artery,artery that supplies blood to the heart
coronary artery bypass graft (cabg),"surgery to make a new passageway for blood to the
heart"
coronary ischemia,not enough blood going to the heart
coronary thrombosis,heart atta
corpus,main portion of a body part or organ
correspond,"agree wit, match, write"
corroborate,"agree wit, confirm"
cortex,outer layer of an organ or other structure in the body
cortical,having to do with a cortex
corticosteroids,"asthma drug, asthma medicine"
corticotropin,"hormone made by the brain that activates the adrenal
glands"
cortisol,"important hormone made by the adrenal gland that
affects metabolism and mineral balance"
costectomy,surgery to remove a rib
cough,"sudden, loud flow if air from the lungs"
counterfeit,"fake, false, phony"
countermeasures,drugs to help fight sickness; flu shots; vaccines
courteous,polite
cranial,related to the head or top of the body
cranial cavity,space inside the skull that holds the brain
cranioplasty,surgery to fix the skull
craniotomy,surgery on the skull or to make an opening in the skull
cranium,"the cranium is that part of your skull that protects the
brain. it does not include the bones of your face, like your
cheek bones."
cranium bifidum,birth defect in which there is a crack in the skull
creatinine clearance test,"blood test used to see if the kidneys can effectively
remove creatinine from the blood"
cretinism,"a birth defect in which lack of thyroid hormone results
in stopping of physical and mental development"
criterion,"sign, standard"
crohn's disease,"serious inflammation of any part of the gastrointestinal
tract"
crossmatch,"blood test to check if it is safe to give blood transfusion
to a person"
crossover,"method used to switch subjects from one study group
to another in a clinical trial"
croup,"children's breathing disorder resulting in coughing and
harsh breathing"
cryoextraction of the lens,surgery using low temperatures to remove a cataract
cryoretinopexy,surgery of the innermost layer of the eye
culdocentesis,"removal of fluid from the pouch between the vagina
and the rectum"
culdoscope,"tool used to look into the pouch between the vagina
and the rectum"
culture,"test for infection or organisms that could cause
infection"
cumulation,"increased action of a drug when given over a period of
time"
cumulative,"total sum (of individual events, experiences,
treatments)"
cure,"heal, fix, make better; make completely better"
currently,"now, at this moment, right now"
"currently
de facto","now, right now, actual, real"
curt (curette),spoon shaped tool used for scraping or cutting
curved,having a curved handle or a curved blade
cushing's syndrome,"disorder caused by too much of the adrenal hormones
or long-time use of cortisone-type drugs in which there
are many symptoms, including a fat, round face and
weakness"
cushingoid,"signs of high doses of medicine, drug"
cutaneous,relating to the skin
cyanosis,"blue color of tissues such as the skin or gums caused
by too little oxygen"
cyesiology,the study of pregnancy
cyesis,pregnancy
cyst,"any closed sac in the body, especially one that contains
fluid or semisolid material"
cystectomy,"surgery to remove the urinary bladder or gallbladder,
also, removal of a cyst"
cystic fibrosis (cf),"genetic disorder of glands resulting in lung and
digestive problems"
cystitis,inflammation of the urinary bladder
cystocele,"type of hernia in which the urinary bladder bulges into
the vagina"
cystogram,x-ray of the urinary bladder
cystolith,stone in the urinary bladder
cystolithotomy,surgery to remove a stone from the urinary bladder
cystoscope,tool used to look into the urinary bladder
cystostomy,surgery to make an opening into the urinary bladder
cystotrachelotomy,surgical cut into the neck of the urinary bladder
cystoureterogram,x-ray of the urinary bladder and ureters
cytogenic,making cells
cytoid,like a cell
cytology,the study of cells
cytomegalovirus (cmv),type of herpes virus
cytoplasm,material inside a cell
dacryocystorhinostomy,"surgery to make an opening between the tear sac and
the nose"
dacryocytitis,inflammation of the tear sac
dander,flakes of skin
de-emphasize,play dow
deactivate,"close, shut off"
debridement,"surgery to clean foreign material and dead tissue out of
a wound"
deceased,dead
decompose,"decay, rot"
decontaminate,"disinfect, purify, sterilize"
decrease,fall
decubital ulcer,bedsore
decubitus ulcer,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
deduct,"take awa, take off"
deem,think
deep,inside the body
deep vein thrombosis,blood clot in a deep vein
defecation,making a bowel movement
defective,"broken, faulty"
defibrillation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
deficiency,lack
deficient,"lacking, poor"
deficit,shortage
deformity,"a change from the normal shape, not normal, not a"
defraud,"cheat, swindle"
defribrillation,"use of electric shock to make the heart start beating, or
to correct an abnormal heart rate or rhythm"
degenerative,"weaken, worsen, decline, decay, droop"
degradation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
dehydrate,"need water, water loss, remove water"
dehydration,water los
deltoid,arm muscle
delusion,"a false belief held in the face of strong differing evidence,
especially as a symptom of psychiatric disorder"
dementia,mental decline
demonstrate,"prove, show"
dentition,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
deoxygenated,no oxyg
deoxyribonucleic acid (dna),"genetic material in the cells in the body that serve as
blueprints for making proteins"
depart,"check o, go, leave"
depersonalization,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
deplete,"empty, reduce, sap"
depletion,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
depreciate,"cheapen, lessen"
depressant,"drug that slows down the action of the central nervous
system"
deprivation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
derivative,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
dermabrasion,method used to remove scars from the skin
dermal,"empty, take all of, reduce, sap"
dermatitis,"skin rash, inflammation"
dermatoautoplasty,"skin grafting using skin from another area of the
patient's body"
dermatofibroma,type of benign skin growth
dermatoheteroplasty,skin grafting using skin from another person
dermatologic,pertaining to the skin
dermatologist,"empty, take all of, reduce, sap"
dermatology,"empty, take all of, reduce, sap"
dermatome,"tool used to cut thin slices of the skin to use as skin
grafts"
dermatoplasty,surgery to repair the skin
dermis,inner layer of the skin
designate,"call, label, name"
desire,want
destitute,"bare, needy, poor"
detached retina,"separation of the retina from the middle layer of the
eye"
detect,find
deteriorate,"empty, take all of, reduce, sap"
determine,"find out, see if"
detoxification,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
detrimental,harmful
develop,"empty, take all of, reduce, sap"
deviate,"empty, take all of, reduce, sap"
deviated septum,"when the inner wall separating the two sides of the
nose is off to one side"
diabetes,"empty, take all of, reduce, sap"
diabetes insipidus,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
diabetes mellitus,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
diagnose,find out
diagnosis,"empty, take all of, reduce, sap"
diaphoresis,heavy sweating
diaphragm,"thin flat muscle that helps with breathing and separates
the chest cavity from the abdominal cavity"
diaphragmatocele,"bulging of the abdominal organs into the chest area
through a hole in the diaphragm"
diaphysis,the long part of arm and leg bones
diarrhea,"frequent, loose bowel movement"
diastole,"the time when the heart rests between contractions and
fills with blood"
diastolic,"lower number in blood pressure reading; pertaining to
resting or relaxation phase of heart beat"
difficulties,"problems, trouble"
